English	Namhsan	Khun Hawt	Htan Hsan	Pangkham	Man Loi	Meng Dan	Chu Dong Gua	Xiang Zhai Tang	Pong Nuea	Nyaung Gone	Noe Lae	Ban Paw	Cha Ye Qing	Guang Ka	Mang Bang	Nan Sang
tongue	kәrɗaɁ	kәrɗaɁ	kәrɗaɁ	kaɗaɁ	kaɗaɁ	kədɛʔ	kaɗaʔ	sɨdaʔ	sadaɁ	sadăʔ	sadăɁ	sɨdăʔ	khadaʔ	sataɁ	sətaːɁ	sataɁ
tooth	r̥aːŋ	r̥aːŋ	r̥aːŋ 	r̥aːŋ	r̥aːŋ	r̥ɛːŋ	ʂaːŋ	r̥aːŋ	r̥aːŋ	r̥ak	r̥aŋ	r̥aŋ	xaːŋ	ᶊaːŋ	xaːŋ	xaːŋ
abdomen	vɛɁ	vac	vaic	waɁ	vaiɁ	veʔ	vɛʔ	vac	vaic	văt	văc	văt	vat	vat	vat	vat
heart	ble phәːm	blej phә:m	blej phәːm	bleː phәːm	bleː phәːm	bli nɔjh	nɔːj	blejnɔx	berɔː	-----	baraw	mahujə	blɔːjnɔh	poŋ kənɔh	kənɔh	poŋkanɔh
liver	kәrɗɔːm	kaɗoːm	kaɗoːm	1	1	1	1	1	1	1	1	1	1	1	1	1
intestines 	-----	-----	-----	-----	-----	rɔːn ʔiar	rɔːn	vac	ɲɔŋ vaic	ɲɔŋ vat	ɲɔŋ vac	ɲɔŋ văt	khəɣan	-----	sɔnvat	sɔnvat
hand	ɗiː	ɗi:	ɗiː	ɗaj	ɗaj	ɗaj	ɗaj	dɛː	dɛː	dɛ	dɛ	dɛ	ɗaj	taj	taj	taiɁ
nail	rәnim	rәnimɗiː	rәnhim	ʔahim	ʔahim	ʔahim	ʔahim	ŋhiːm	ŋhiːm	ŋ him	ŋ him	ŋ him	khiːm	khiːm	khiːm	kiːm
foot	ʥәŋ	ʥәːŋ	ʥәːŋ	ʨeŋ	ʨeːŋ	ʨəŋ	ʥəŋ	ʨeːn	ceɲ	plɔ	ceɲ	ceɲ	ʥɔːn	ʥɔːn	ʥɔːn	ʥɔːn
bone	kaɁaːŋ	kanɁaːŋ	kәnɁaːŋ	kaɁaːŋ	kaɁaːŋ	kaʔɛːŋ	kaɁaːŋ	kaɁaːŋ	kaɁaːŋ	kaʔak	kaɁaŋ	kaɁaŋ	kaʔaːŋ	kaɁaːŋ	kaɁaːŋ	kaɁaːŋ
