ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY
103	7_night	None	ChuDongGua	Chu Dong Gua	kham̥ɯ	kham̥ɯ	kʰ a m̥ ɯ		1233	24.330889	98.393125	
104	7_night	None	XiangZhaiTang	Xiang Zhai Tang	ʨuŋm̥əɯ	ʨuŋm̥əɯ	tɕ u ŋ m̥ ə ɯ	ruma1248	1233	24.323819	98.556639	
105	7_night	None	PongNuea	Pong Nuea	khɛm̥әɯ	khɛm̥әɯ	kʰ ɛ m̥ ə ɯ		1233	20.321525	99.866817	
106	7_night	None	NyaungGone	Nyaung Gone	pam̥ə	pam̥ə	p a m̥ ə		1233	20.635025	96.545772	
107	7_night	None	NoeLae	Noe Lae	khɛm̥ə	khɛm̥ə	kʰ ɛ m̥ ə		1233	19.941803	99.044742	
108	7_night	None	BanPaw	Ban Paw	khɛm̥ə	khɛm̥ə	kʰ ɛ m̥ ə		1233	21.311225	99.557550	
109	7_night	None	ChaYeQing	Cha Ye Qing	kham̥eːw	kham̥eːw	kʰ a m̥ eː w		1233	24.305717	98.463661	
110	7_night	None	GuangKa	Guang Ka	kasɛm	kasɛm	k a s ɛ m	ruma1248	1233	24.065714	97.796281	
111	7_night	None	MangBang	Mang Bang	kasəm	kasəm	k a s ə m	ruma1248	1233	24.416392	98.399078	
112	7_night	None	NanSang	Nan Sang	kasəm	kasəm	k a s ə m	ruma1248	1233	24.019728	97.819736	
113	8_year	None	NamHsan	Namhsan	sanәm	sanәm	s a n ə m		1226	22.965064	97.163239	
114	8_year	None	KhunHawt	Khun Hawt	sanәm	sanәm	s a n ə m		1226	22.965064	97.163239	
115	8_year	None	HtanHsan	Htan Hsan	sәnәm	sәnәm	s ə n ə m		1226	22.675133	97.289942	
116	8_year	None	PangKham	Pangkham	sanam	sanam	s a n a m		1226	22.672097	97.161167	
117	8_year	None	ManLoi	Man Loi	sanam	sanam	s a n a m		1226	22.636019	97.139264	
118	8_year	None	MengDan	Meng Dan	sənam	sənam	s ə n a m	khan1274	1226	24.296522	98.379886	
119	8_year	None	ChuDongGua	Chu Dong Gua	sanɔm	sanɔm	s a n ɔ m		1226	24.330889	98.393125	
120	8_year	None	XiangZhaiTang	Xiang Zhai Tang	sanəm	sanəm	s a n ə m	ruma1248	1226	24.323819	98.556639	
121	8_year	None	PongNuea	Pong Nuea	sanəm	sanəm	s a n ə m		1226	20.321525	99.866817	
122	8_year	None	NyaungGone	Nyaung Gone	sanăm	sanăm	s a n ă m		1226	20.635025	96.545772	
123	8_year	None	NoeLae	Noe Lae	sanə̆m	sanə̆m	s a n ə̆ m		1226	19.941803	99.044742	
124	8_year	None	BanPaw	Ban Paw	sanăm	sanăm	s a n ă m		1226	21.311225	99.557550	
